                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0029,                 3.5617,                 2.3473,                0.04536,                0.09297,                0.04268,                 0.0167,                 2.8207,                 2.4903,                   1.56,               0.070037,              0.0033292,              0.0033292
                      1,                 2.6139,                  2.333,                 1.4532,                0.20829,                0.10928,                0.07669,                0.03478,                 2.2599,                 1.9304,                  1.271,               0.039971,              0.0065966,              0.0065966
                      2,                 2.2453,                 1.9719,                  1.293,                0.27126,                0.12042,                0.09865,                0.04724,                 2.0816,                 1.7578,                 1.1918,              0.0098392,               0.009798,               0.009798
                      3,                 2.0489,                  1.765,                 1.2066,                0.22053,                0.16821,                0.13612,                0.07015,                 1.8213,                 1.4928,                 1.1214,               0.009703,               0.009703,               0.009703
                      4,                 1.8995,                 1.6062,                 1.1542,                0.23183,                0.19043,                0.15682,                0.07997,                 1.7622,                 1.3948,                  1.095,               0.009703,               0.009703,               0.009703
                      5,                 1.8233,                 1.5225,                 1.1245,                0.28418,                0.22007,                 0.1867,                0.09979,                 1.6672,                   1.31,                 1.0651,               0.009604,               0.009604,               0.009604
                      6,                 1.7536,                 1.4436,                 1.1037,                0.30438,                0.22993,                0.20445,                 0.1094,                 1.6163,                 1.2386,                 1.0515,               0.009505,               0.009505,               0.009505
                      7,                  1.693,                 1.3836,                  1.084,                0.29232,                 0.2371,                0.21346,                0.11555,                 1.5701,                 1.2333,                 1.0331,               0.009406,               0.009406,               0.009406
                      8,                 1.6531,                 1.3362,                 1.0714,                0.33129,                0.24798,                0.22742,                0.12475,                 1.5163,                 1.1731,                 1.0178,               0.009307,               0.009307,               0.009307
                      9,                 1.6232,                 1.2971,                 1.0604,                 0.3387,                0.26312,                0.23921,                0.13121,                 1.5112,                 1.1539,                 1.0133,               0.009208,               0.009208,               0.009208
                     10,                 1.5878,                 1.2622,                   1.05,                0.34953,                0.25818,                0.24477,                0.13538,                 1.4877,                 1.1248,                 1.0115,               0.009109,               0.009109,               0.009109
                     11,                 1.5673,                 1.2365,                 1.0411,                0.36789,                0.26315,                0.25605,                0.14177,                 1.4602,                 1.1082,                  1.003,                0.00901,                0.00901,                0.00901
                     12,                 1.5532,                 1.2096,                 1.0334,                 0.3613,                0.27857,                0.26417,                0.14729,                 1.4474,                 1.0903,                0.99632,               0.008911,               0.008911,               0.008911
                     13,                 1.5308,                 1.1886,                 1.0303,                0.37115,                0.27565,                0.26549,                0.14736,                 1.4368,                 1.0884,                0.99304,               0.008812,               0.008812,               0.008812
                     14,                 1.5194,                 1.1793,                 1.0254,                0.38428,                0.27821,                0.27524,                0.15387,                 1.4081,                 1.0613,                 0.9854,               0.008713,               0.008713,               0.008713
                     15,                 1.5047,                 1.1629,                 1.0236,                0.37692,                0.28653,                0.27363,                0.15356,                 1.4032,                 1.0534,                0.98526,               0.008614,               0.008614,               0.008614
